name,price,description,image_url
Vela Aromática Preta,"R$  139,90",Fragrância Bambu,https://pps.whatsapp.net/v/t61.24694-24/554980956_1513284879948179_3115021454833313709_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wF_Lm-dWLH0ai7ax0nZtykHYyqiQ4ca8ZZwEdhvG56W9g&oe=6A4CFAA0&_nc_sid=5e03e0&_nc_cat=110
LBle- Sabonete Bleu 240 ml,"R$  119,90","O Bleu é uma fragrância com toque fresco, levemente cítrico, aromático (sálvia) e pouco amadeirado. Contém Ambreta, sal marinho, algas marinhas e toranja",https://pps.whatsapp.net/v/t61.24694-24/521460895_1419492873234741_6337681019475092438_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wFKU0h4u-QkF7KY-ksyDUmdlVq5EvlnOlfc01AXUpKUJA&oe=6A4CD83B&_nc_sid=5e03e0&_nc_cat=111
Toalha branca de lavabo,"R$  34,90",,https://pps.whatsapp.net/v/t61.24694-24/437162562_383618778055460_2915717054876734110_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wEXVQXpntbhUuMZg5tdiWFnQhq_nw8v-xN778BoL4KZ-w&oe=6A4CE03E&_nc_sid=5e03e0&_nc_cat=107
LBle- Difusor Bleu 240 ml,"R$  139,90","Acompanha Kit com 4 varetas de fibra. O Bleu é uma fragrância com toque fresco, levemente cítrico, aromático (sálvia) e pouco amadeirado. Contém Ambreta, sal marinho, algas marinhas e toranja.",https://pps.whatsapp.net/v/t61.24694-24/611460195_1506867504472391_6275269842397558945_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wGCghc0pUyRcxHc0CYNSkCIc3toeBvFPmMSK2_U6gqLsw&oe=6A4D00A4&_nc_sid=5e03e0&_nc_cat=100
Bandeja redonda dourada,"R$  139,90",Tamanho - diam. 17,https://pps.whatsapp.net/v/t61.24694-24/382387849_246259078395083_5299778417166704413_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wE8kSGUdjmokEvnN3CrGRsJRnVh2BqgoGDWWRmHnCIodA&oe=6A4CFBBD&_nc_sid=5e03e0&_nc_cat=106
LR-Refil Difusor Rose 250 ml,"R$  89,90","O Rose é uma fragrância mais floral, formada pelos acordes de rosas perfumadas, em harmonia com o Jasmim  branco e Gardênias. É um floral bem marcante.",https://pps.whatsapp.net/v/t61.24694-24/651400337_963534776356397_6026752373391102652_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wGKf-qN8s7YV5xQoSL7atNKWunzNtfvAZsPya4sW8IEYA&oe=6A4CFD77&_nc_sid=5e03e0&_nc_cat=109
Sais de Banho,"R$  54,90",Pode ser usado na banheira ou no chuveiro como um esfoliante,https://pps.whatsapp.net/v/t61.24694-24/684358949_1653738765897627_6553136850375364126_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wGademYiMLmlhbASeRD4jkvoLJSLx4-E1HUMmdI3ZwKBg&oe=6A4CD128&_nc_sid=5e03e0&_nc_cat=106
LBla- Difusor Blanc 120 ml,"R$  99,90",Acompanha kit com 4 varetas de fibra.  O Blanc é uma fragrância cítrica refrescante formada por um mix de chá branco combinado com a energia da flor de limão e o floral das margaridas.,https://pps.whatsapp.net/v/t61.24694-24/546456758_774316525456716_88273023385605376_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wHQbHCigij7hCZ-uxZ-87TTkpsHjjhyXZEdhfXKvOHing&oe=6A4CF98B&_nc_sid=5e03e0&_nc_cat=102
Gesso Perfumado,"R$  84,90","Gesso perfumado, acompanha frasco com 15 ml de essência",https://pps.whatsapp.net/v/t61.24694-24/586487323_976171631422698_5496448932296686254_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wHRBn0S_54mcQ1EHO-yPbDGCW2t52o5u_LTjyZB4bFasg&oe=6A4CF7B3&_nc_sid=5e03e0&_nc_cat=107
Bandeja ou Porta papel toalha de Acrilico,"R$  109,90",,https://pps.whatsapp.net/v/t61.24694-24/594496005_850427984807510_7861920394939035081_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wGzJy1Y3-GndGTBjtUM5ROB6N9EuzVsWUjx1CHKPUtPjQ&oe=6A4CD727&_nc_sid=5e03e0&_nc_cat=107
LV-Água Perfumada Vanille 500 ml,"R$  119,90","Ideal para borrifar em tecidos.  O Vanille é uma fragrância suave formada pela combinação dos acordes de Baunilha, rosas vermelhas e flor de laranjeira para trazer a sensação de aconchego.",https://pps.whatsapp.net/v/t61.24694-24/695775472_1582756546750166_3359535159718034183_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wEZc-2NHGbLjIGuznqgm6UMpDQUppB2doRzQL7nQtY-sQ&oe=6A4CF2D8&_nc_sid=5e03e0&_nc_cat=105
LBle- Água Perfumada Bleu 50O ml,"R$  119,90","Ideal para borrifar em tecidos. O Bleu é uma fragrância com toque fresco, levemente cítrico, aromático (sálvia) e pouco amadeirado. Contém Ambreta, sal marinho, algas marinhas e toranja",https://pps.whatsapp.net/v/t61.24694-24/626432616_1458875896010381_6557230660482594679_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wETG7su_ygHNzZ6rQKLsjjZMwp_x2D3IxbrDsVEPW0NTg&oe=6A4CE763&_nc_sid=5e03e0&_nc_cat=110
LLo- Difusor L’or 250 ml,"R$  139,90","Acompanha kit com 4 varetas de fibra. L’OR É uma mistura cítrica e amadeirada bem intensa, compõe um aroma firme, marcante, vivo e envolvente.",https://pps.whatsapp.net/v/t61.24694-24/544436003_4229941520618621_8708741697470503589_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wFZp9VbLbsm5Okr-m9gKRrKrFMH91yEiMd-Y3dqbexC6w&oe=6A4CEB95&_nc_sid=5e03e0&_nc_cat=100
Bandeja oval de cerâmica,"R$  149,90","Tamanho - 22 x 12 cm Cor: branca, preta e Rosa",https://pps.whatsapp.net/v/t61.24694-24/454732506_1012283070578120_8752657226112839664_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wH3TluS6POnyG-ps2-jlj53u9C6ySnEsDVwVejQhUZVgA&oe=6A4D06AE&_nc_sid=5e03e0&_nc_cat=104
LV-Refil Home Spray Vanille 250 ml,"R$  84,90","Ideal para borrifar no ambiente. O Vanille é uma fragrância suave formada pela combinação dos acordes de Baunilha, rosas vermelhas e flor de laranjeira para trazer a sensação de aconchego.",https://pps.whatsapp.net/v/t61.24694-24/418952477_1177183753289758_6466802026336506368_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wEXmO-lE_3BdafFtJbbPRg_6nSj8jOCPjXD7--eVb-znQ&oe=6A4CEB19&_nc_sid=5e03e0&_nc_cat=104
LBle- Home Spray Bleu 130 ml,"R$  94,90","Ideal para borrifar no ambiente.  O Bleu é uma fragrância com toque fresco, levemente cítrico, aromático (sálvia) e pouco amadeirado. Contém Ambreta, sal marinho, algas marinhas e toranja",https://pps.whatsapp.net/v/t61.24694-24/505159196_4424296981125762_2539446477337944236_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wHxFO0UpiYt00qVPnboDfdnh5RNEEj0xMVEgFmpavs0jw&oe=6A4CF9DD&_nc_sid=5e03e0&_nc_cat=105
Bandeja retangular preto com fundo vidro preto,"R$  169,90",Tamanho -28x18cm,https://pps.whatsapp.net/v/t61.24694-24/408213221_1482560895629624_4817838840838346196_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wFwHPsyN0_SHmyUAYhnkFBEsbUHS-efLL1YIm2vlkhoPA&oe=6A4D0177&_nc_sid=5e03e0&_nc_cat=100
